Epoch,Train Accuracy,Validation Accuracy,Test Accuracy,Train Recall,Validation Recall,Test Recall,Train Specificity,Validation Specificity,Test Specificity,Train Precision,Validation Precision,Test Precision,Train F-Score,Validation F-Score,Test F-Score,Train Loss,Validation Loss,Test Loss
1,0.1504237288135593,0.1485148514851485,0.12828947368421054,0.1504237288135593,0.1485148514851485,0.12828947368421054,,,,0.07305935046521883,0.06882407262488094,0.07098880864267501,0.08036700147446581,0.08093586434311324,0.07875513775081416,2.3354711197623206,2.3354711197623206,0.12828947368421054
2,0.24858757062146894,0.24422442244224424,0.24342105263157895,0.24858757062146894,0.24422442244224424,0.24342105263157895,1.0,1.0,1.0,0.2151624719044298,0.21665489297289992,0.2128487176885451,0.16511290986466515,0.16723629128550907,0.16264013674996952,2.112874370703185,2.224172745232753,0.24342105263157895
3,0.22175141242937854,0.19801980198019803,0.21710526315789475,0.22175141242937854,0.19801980198019803,0.21710526315789475,1.0,1.0,,0.20948951086221249,0.23526410237242507,0.1135587795367436,0.13575544794877697,0.12416778337623649,0.13962821218282986,1.9359764336375596,2.1281073080343553,0.21710526315789475
4,0.22245762711864406,0.19801980198019803,0.2138157894736842,0.22245762711864406,0.19801980198019803,0.2138157894736842,,,,0.10426254175853512,0.09570675691050888,0.10065842189608637,0.12717305398832637,0.1210138801916459,0.12614961501529104,1.8757928785585094,2.065028700665394,0.2138157894736842
5,0.24152542372881355,0.22442244224422442,0.22697368421052633,0.24152542372881355,0.22442244224422442,0.22697368421052633,,1.0,,0.12578288697824339,0.21548246781123764,0.13634519504909373,0.14647984393380742,0.14138918798619754,0.1467321324593494,1.836668024743189,2.019356565480953,0.22697368421052633
6,0.2690677966101695,0.264026402640264,0.24013157894736842,0.2690677966101695,0.264026402640264,0.24013157894736842,1.0,1.0,1.0,0.24357858901415774,0.22935480261650204,0.21783547361211034,0.18622310136692982,0.19574685067331907,0.17096447221970815,1.7982641932850703,1.9825078367816389,0.24013157894736842
7,0.2959039548022599,0.3102310231023102,0.2598684210526316,0.2959039548022599,0.3102310231023102,0.2598684210526316,0.9583333333333334,0.8888888888888888,0.8,0.28381920094723745,0.2852778650990657,0.24410741234807448,0.22353830216477724,0.24663071936049144,0.19150385433280168,1.7543609806448748,1.9499154287621014,0.2598684210526316
8,0.3213276836158192,0.3201320132013201,0.29605263157894735,0.3213276836158192,0.3201320132013201,0.29605263157894735,0.8115942028985508,0.8,0.75,0.2972329056424703,0.29357434894593026,0.25812330307089454,0.2542326111405497,0.2571547270773496,0.23028972596493516,1.704495988125426,1.919237998682517,0.29605263157894735
9,0.3531073446327684,0.33993399339933994,0.3355263157894737,0.3531073446327684,0.33993399339933994,0.3355263157894737,0.978021978021978,1.0,1.0,0.288980396911261,0.26557539319582324,0.25873408953662436,0.27049129652253734,0.26209788956281865,0.2550571487324368,1.6389149171741932,1.8880909896260367,0.3355263157894737
10,0.3968926553672316,0.38943894389438943,0.35855263157894735,0.3968926553672316,0.38943894389438943,0.35855263157894735,1.0,1.0,1.0,0.3157217215411268,0.34088695754239917,0.2670488312737992,0.31199227114402883,0.3099174917210734,0.2736142452863567,1.5690823496137978,1.8561901256248128,0.35855263157894735
