Epoch,Train Accuracy,Validation Accuracy,Test Accuracy,Train Recall,Validation Recall,Test Recall,Train Specificity,Validation Specificity,Test Specificity,Train Precision,Validation Precision,Test Precision,Train F-Score,Validation F-Score,Test F-Score,Train Loss,Validation Loss,Test Loss
11,0.4230225988700565,0.40594059405940597,0.4342105263157895,0.4230225988700565,0.40594059405940597,0.4342105263157895,1.0,1.0,1.0,0.3761964812180496,0.3571560667455341,0.3608797050676226,0.36411834487037975,0.3447185139830469,0.3598845395939364,1.345863263107379,1.8889768757486343,0.4342105263157895
12,0.4378531073446328,0.43234323432343236,0.4506578947368421,0.4378531073446328,0.43234323432343236,0.4506578947368421,1.0,1.0,1.0,0.39664370276689237,0.3770717482621248,0.3640974300525111,0.3817844525832042,0.3688081801079617,0.3753695394033521,1.2920500074899646,1.8392329700604118,0.4506578947368421
13,0.4456214689265537,0.42574257425742573,0.4506578947368421,0.4456214689265537,0.42574257425742573,0.4506578947368421,1.0,1.0,1.0,0.42575031893139104,0.38912246156061875,0.35046274287716705,0.3839671156402426,0.36656202721728987,0.3687239168420319,1.2489623793757307,1.793827540007744,0.4506578947368421
14,0.4576271186440678,0.42244224422442245,0.4407894736842105,0.4576271186440678,0.42244224422442245,0.4407894736842105,0.9927536231884058,1.0,1.0,0.4074961461624892,0.3788110453963433,0.34186182444686086,0.3983835775101237,0.370010057660559,0.3642754219787636,1.216171238457195,1.7525663756112764,0.4407894736842105
15,0.4738700564971751,0.46534653465346537,0.4605263157894737,0.4738700564971751,0.46534653465346537,0.4605263157894737,0.9927536231884058,1.0,0.9615384615384616,0.4257532285813019,0.41139215752382124,0.3871875325737905,0.41351748686482087,0.4123379548650647,0.38996108851043815,1.1862036255534794,1.7148088589407564,0.4605263157894737
16,0.4872881355932203,0.504950495049505,0.4506578947368421,0.4872881355932203,0.504950495049505,0.4506578947368421,0.9927536231884058,1.0,1.0,0.45090388861307285,0.4613344158528075,0.3584487502656456,0.4341626465571233,0.4566241544683876,0.38010549401293864,1.1609382094630445,1.6801919433483996,0.4506578947368421
17,0.4943502824858757,0.5082508250825083,0.46381578947368424,0.4943502824858757,0.5082508250825083,0.46381578947368424,0.9927536231884058,1.0,1.0,0.45717456377296417,0.47063148181419856,0.398672800656035,0.44076315548290923,0.4632690995366463,0.39325791967366097,1.1310725885940656,1.6478908048334389,0.46381578947368424
18,0.4978813559322034,0.5115511551155115,0.46381578947368424,0.4978813559322034,0.5115511551155115,0.46381578947368424,0.9927536231884058,1.0,0.9615384615384616,0.46091003987049134,0.4813036968790451,0.42680600047391637,0.44258696185283913,0.4620632560482469,0.4029097638944245,1.1069435742052987,1.6178381809096534,0.46381578947368424
19,0.5070621468926554,0.5313531353135313,0.47368421052631576,0.5070621468926554,0.5313531353135313,0.47368421052631576,0.9927536231884058,1.0,0.9615384615384616,0.4636407693432567,0.4887293120697457,0.4343059392366468,0.4508081441673035,0.4778917725873465,0.41423404241696565,1.096247827615464,1.5903860570520643,0.47368421052631576
20,0.5134180790960452,0.5346534653465347,0.46710526315789475,0.5134180790960452,0.5346534653465347,0.46710526315789475,0.9927536231884058,1.0,0.9615384615384616,0.4764967474654685,0.5091703708185944,0.4451634434853233,0.4595798127965871,0.48637092556541317,0.41455419418478473,1.0682689531277065,1.5642802018558464,0.46710526315789475
21,0.5254237288135594,0.5445544554455446,0.4967105263157895,0.5254237288135594,0.5445544554455446,0.4967105263157895,0.9927536231884058,1.0,1.0,0.498923739690036,0.5391080987166679,0.47117419297481705,0.46945820468946264,0.4939794123024466,0.435095989958612,1.0547431511644971,1.5400165327753061,0.4967105263157895
22,0.5353107344632768,0.5610561056105611,0.4868421052631579,0.5353107344632768,0.5610561056105611,0.4868421052631579,0.9927536231884058,1.0,0.9615384615384616,0.5030353814100007,0.5345064951324339,0.4456682600739784,0.48924011759225605,0.516848879599633,0.4407742028864353,1.038614774876968,1.5172255437799271,0.4868421052631579
23,0.53954802259887,0.5511551155115512,0.48026315789473684,0.53954802259887,0.5511551155115512,0.48026315789473684,0.9927536231884058,1.0,0.9615384615384616,0.4992904714882018,0.5237025402545438,0.4575711824565583,0.49511914765836085,0.5082450076105253,0.4349514502129597,1.004152957991958,1.4949180400500153,0.48026315789473684
24,0.5444915254237288,0.5478547854785478,0.4967105263157895,0.5444915254237288,0.5478547854785478,0.4967105263157895,0.9927536231884058,1.0,1.0,0.5043677758791141,0.5117854011040739,0.4618145077236829,0.4926656204362456,0.5015117010948734,0.4480947284187757,0.9936828226076685,1.4740332393232507,0.4967105263157895
25,0.5388418079096046,0.5544554455445545,0.5164473684210527,0.5388418079096046,0.5544554455445545,0.5164473684210527,0.9928057553956835,1.0,1.0,0.49911584931572417,0.5425561649571551,0.48495288136159537,0.48731190217681813,0.5052749330825981,0.4633319525932985,0.9795124300937122,1.4542524069540692,0.5164473684210527
26,0.5423728813559322,0.5313531353135313,0.4868421052631579,0.5423728813559322,0.5313531353135313,0.4868421052631579,0.9928057553956835,1.0,1.0,0.504021517939819,0.49692164849818343,0.45179818246768716,0.4940930398023194,0.48355704200213745,0.4431734888991478,0.9831824559915692,1.4361343319170499,0.4868421052631579
