componentes_principais,autovalores
PC95,8.109443795923024
PC96,7.9673541676585105
PC97,8.043745108407673
PC98,7.762999330159726
PC99,7.614501727021882
PC100,7.782054194057403
PC101,7.501335963134819
PC102,7.377931626919487
PC103,7.26347499879248
PC104,7.157420036992732
PC105,7.02598803859133
PC106,6.987656606810837
PC107,6.8016075985655995
PC108,6.687420639578563
PC109,6.680215111836418
PC110,6.593884383648912
PC111,6.476235157952247
PC112,6.437410322174575
PC113,6.369557438352199
PC114,6.2482838190077965
PC115,6.0715190459702475
PC116,6.0120059909485155
PC117,5.991977856491024
PC118,5.82202239981827
PC119,5.757206621958764
PC120,5.698386532631836
PC121,5.663390139408524
PC122,5.613025255320727
PC123,5.526901492812685
PC124,5.469356341210859
PC125,5.4080513759644155
PC126,5.305300426456905
PC127,5.364350587260368
PC128,5.162610491430624
PC129,5.076594911121063
PC130,5.0297050086058395
PC131,4.940194471870937
PC132,4.677696796546825
PC133,4.8899678750774225
PC134,4.859206823888289
PC135,4.818718652540635
PC136,4.791420695251926
PC137,4.603913714617535
PC138,4.532697177317546
PC139,4.482556429650108
PC140,4.39392555208126
PC141,4.345684586667671
PC142,4.291309925176886
PC143,4.217819825137438
PC144,4.096729578795441
PC145,4.047975866649449
PC146,4.017380152924379
PC147,3.9226033987197773
PC148,3.946569741081175
PC149,3.8476940061805704
PC150,3.778275397735814
PC151,3.5594713637213906
PC152,3.613890114125623
PC153,3.6233472764820798
PC154,3.7304563316159465
PC155,3.4406210850322143
PC156,3.4017267425033757
PC157,3.3433671939613805
PC158,3.055166923029947
PC159,3.129853210064496
PC160,3.2529131618531384
PC161,3.1700298024455
PC162,3.2108471203145665
PC163,3.2234785960583485
PC164,2.931462038836706
PC165,2.8611383612401995
PC166,2.8850503542342976
PC167,2.808951862240958
PC168,2.7975610831946987
PC169,2.746978715328202
PC170,2.6519130677387777
PC171,2.5558037226563153
PC172,2.4746090309047446
PC173,2.441706556974732
PC174,2.3883643228344225
PC175,2.3514245648532315
PC176,2.3107547174343153
PC177,2.237153595765717
PC178,2.167341402386987
PC179,2.1224529521438575
PC180,2.0506843951611637
PC181,2.0297393546032345
PC182,1.9626885023810896
PC183,1.9239315871732392
PC184,1.9196916748500163
PC185,1.833508920242838
PC186,1.7720208688507182
PC187,1.7391857268099549
PC188,1.6430357755881506
PC189,1.62213340942988
PC190,1.5584630397879793
PC191,1.517349978322561
PC192,1.4666692622421118
PC193,1.4172075666115844
PC194,1.3745155207874837
PC195,1.3461114695479037
PC196,1.3103218467413682
PC197,1.2746701796012698
PC198,1.2191872809472435
PC199,1.195433986280242
PC200,1.1810285278411934
PC201,1.112210469405781
PC202,1.0946779179225583
PC203,1.068357678748239
PC204,1.0255402173785284
PC205,1.0003832444673337
PC206,0.9931454264408359
PC207,0.9238319424651897
PC208,0.8815445187679434
PC209,0.8712220578105396
PC210,0.84097432131331
PC211,0.8450640107541866
PC212,0.786812208864372
PC213,0.7728841311126103
PC214,0.7537602830158927
PC215,0.7157547580703437
PC216,0.6941471200923867
PC217,0.6817114792232036
PC218,0.6694225496446148
PC219,0.6599287686834598
PC220,0.6487969491149409
PC221,0.6259725254910463
PC222,0.6200431878238465
PC223,0.6093994369383513
PC224,0.5851111858324053
PC225,0.5729872357298047
PC226,0.566670256920223
PC227,0.5579307298117282
PC228,0.5432305153357545
PC229,0.5337633127026692
PC230,0.5238234401901545
PC231,0.5147968725551226
PC232,0.496913562447694
PC233,0.4882742822442713
PC234,0.48438723397940553
PC235,0.4684225198361943
PC236,0.45839774693140317
PC237,0.44846022702017896
PC238,0.4447974353416069
PC239,0.43759358889125377
PC240,0.43337722452981714
PC241,0.4221200143585298
PC242,0.4166898878502957
PC243,0.41010901826146845
PC244,0.3973389763882503
PC245,0.39009779015512575
PC246,0.3927043708751452
PC247,0.3856230604535966
PC248,0.37282635667681585
PC249,0.36478092100277437
PC250,0.3588964875376761
PC251,0.3619654618528802
PC252,0.35492757216875426
PC253,0.353482410671825
PC254,0.34485751530166026
PC255,0.3370669958786396
PC256,0.33547205609735253
PC257,0.3293407333993367
PC258,0.32135298877764684
PC259,0.3180383684560999
PC260,0.31605800867067657
PC261,0.308838615393042
PC262,0.3065622430210329
PC263,0.3041550073035274
PC264,0.2950803211464481
PC265,0.29303754560636014
PC266,0.2884281809804662
PC267,0.282607581976425
PC268,0.2768321384138403
PC269,0.27424161945776176
PC270,0.27131570021751383
PC271,0.2692505951352239
PC272,0.263427483441687
PC273,0.2605965217625433
PC274,0.2586391545248561
PC275,0.2554692290839971
PC276,0.24574313399893943
PC277,0.24468076037467726
PC278,0.24284496137534098
PC279,0.2391071403920879
PC280,0.2363151000193539
PC281,0.237713599495454
PC282,0.23035733811966125
PC283,0.2240969304079743
PC284,0.22131118959770135
PC285,0.21970594242291352
PC286,0.21667940097976182
PC287,0.21465761101517952
PC288,0.2127908747196062
PC289,0.21048160905586394
PC290,0.20698219316042424
PC291,0.205908791114765
PC292,0.20232371490723414
PC293,0.2001889834993259
PC294,0.19809134169688156
PC295,0.1964312006091157
PC296,0.19411334284116866
PC297,0.19095850207502602
PC298,0.18799913978973884
PC299,0.1844715847695041
