Arquivo de saída: /home/pojucan/Área de Trabalho/231009/scripts/PCA/efetivos/arquivo_treinamento_suavizado_metricas10_100_50_10.csv

Época 15: MSE no treinamento = 0.0239, MSE na validação = 0.0262, MSE no teste = 0.0279
Época 15: R-squared no treinamento = 0.7074, R-squared na validação = 0.6981, R-squared no teste = 0.6565
Época 15: LOSS no treinamento = 0.0121, LOSS na validação = 0.6981, LOSS no teste = 0.6565
Época 16: MAE no treinamento = 0.1253, MAE na validação = 0.1337, MAE no teste = 0.1371
Época 16: MSE no treinamento = 0.0237, MSE na validação = 0.0260, MSE no teste = 0.0278
Época 16: R-squared no treinamento = 0.7099, R-squared na validação = 0.6994, R-squared no teste = 0.6578
Época 16: LOSS no treinamento = 0.0120, LOSS na validação = 0.6994, LOSS no teste = 0.6578
Época 17: MAE no treinamento = 0.1247, MAE na validação = 0.1331, MAE no teste = 0.1367
Época 17: MSE no treinamento = 0.0235, MSE na validação = 0.0259, MSE no teste = 0.0277
Época 17: R-squared no treinamento = 0.7123, R-squared na validação = 0.7011, R-squared no teste = 0.6594
Época 17: LOSS no treinamento = 0.0119, LOSS na validação = 0.7011, LOSS no teste = 0.6594
Época 18: MAE no treinamento = 0.1241, MAE na validação = 0.1326, MAE no teste = 0.1364
Época 18: MSE no treinamento = 0.0233, MSE na validação = 0.0258, MSE no teste = 0.0275
Época 18: R-squared no treinamento = 0.7146, R-squared na validação = 0.7027, R-squared no teste = 0.6611
Época 18: LOSS no treinamento = 0.0118, LOSS na validação = 0.7027, LOSS no teste = 0.6611
Época 19: MAE no treinamento = 0.1235, MAE na validação = 0.1320, MAE no teste = 0.1360
Época 19: MSE no treinamento = 0.0232, MSE na validação = 0.0256, MSE no teste = 0.0274
Época 19: R-squared no treinamento = 0.7167, R-squared na validação = 0.7043, R-squared no teste = 0.6625
Época 19: LOSS no treinamento = 0.0117, LOSS na validação = 0.7043, LOSS no teste = 0.6625
Época 20: MAE no treinamento = 0.1229, MAE na validação = 0.1315, MAE no teste = 0.1357
Época 20: MSE no treinamento = 0.0230, MSE na validação = 0.0255, MSE no teste = 0.0273
Época 20: R-squared no treinamento = 0.7188, R-squared na validação = 0.7058, R-squared no teste = 0.6638
Época 20: LOSS no treinamento = 0.0116, LOSS na validação = 0.7058, LOSS no teste = 0.6638
Época 21: MAE no treinamento = 0.1223, MAE na validação = 0.1309, MAE no teste = 0.1354
Época 21: MSE no treinamento = 0.0228, MSE na validação = 0.0253, MSE no teste = 0.0272
Época 21: R-squared no treinamento = 0.7209, R-squared na validação = 0.7075, R-squared no teste = 0.6649
Época 21: LOSS no treinamento = 0.0116, LOSS na validação = 0.7075, LOSS no teste = 0.6649
Época 22: MAE no treinamento = 0.1218, MAE na validação = 0.1305, MAE no teste = 0.1351
Época 22: MSE no treinamento = 0.0226, MSE na validação = 0.0252, MSE no teste = 0.0271
Época 22: R-squared no treinamento = 0.7229, R-squared na validação = 0.7088, R-squared no teste = 0.6659
Época 22: LOSS no treinamento = 0.0115, LOSS na validação = 0.7088, LOSS no teste = 0.6659
Época 23: MAE no treinamento = 0.1212, MAE na validação = 0.1302, MAE no teste = 0.1348
Época 23: MSE no treinamento = 0.0225, MSE na validação = 0.0251, MSE no teste = 0.0270
Época 23: R-squared no treinamento = 0.7247, R-squared na validação = 0.7099, R-squared no teste = 0.6670
Época 23: LOSS no treinamento = 0.0114, LOSS na validação = 0.7099, LOSS no teste = 0.6670
Época 24: MAE no treinamento = 0.1207, MAE na validação = 0.1297, MAE no teste = 0.1344
Época 24: MSE no treinamento = 0.0224, MSE na validação = 0.0250, MSE no teste = 0.0269
Época 24: R-squared no treinamento = 0.7264, R-squared na validação = 0.7113, R-squared no teste = 0.6684
Época 24: LOSS no treinamento = 0.0113, LOSS na validação = 0.7113, LOSS no teste = 0.6684
Época 25: MAE no treinamento = 0.1202, MAE na validação = 0.1292, MAE no teste = 0.1340
Época 25: MSE no treinamento = 0.0222, MSE na validação = 0.0249, MSE no teste = 0.0268
Época 25: R-squared no treinamento = 0.7281, R-squared na validação = 0.7129, R-squared no teste = 0.6698
Época 25: LOSS no treinamento = 0.0113, LOSS na validação = 0.7129, LOSS no teste = 0.6698
Época 26: MAE no treinamento = 0.1198, MAE na validação = 0.1291, MAE no teste = 0.1338
Época 26: MSE no treinamento = 0.0221, MSE na validação = 0.0248, MSE no teste = 0.0267
Época 26: R-squared no treinamento = 0.7297, R-squared na validação = 0.7137, R-squared no teste = 0.6710
Época 26: LOSS no treinamento = 0.0112, LOSS na validação = 0.7137, LOSS no teste = 0.6710
Época 27: MAE no treinamento = 0.1194, MAE na validação = 0.1288, MAE no teste = 0.1335
Época 27: MSE no treinamento = 0.0220, MSE na validação = 0.0247, MSE no teste = 0.0266
Época 27: R-squared no treinamento = 0.7311, R-squared na validação = 0.7147, R-squared no teste = 0.6719
