componentes_principais,autovalores
PC86,60.37495218513585
PC87,59.84396444200487
PC88,58.11447947520934
PC89,57.87842686369943
PC90,57.28338274311871
PC91,56.21038386546958
PC92,56.10577623636085
PC93,55.140092107412414
PC94,54.9111754419274
PC95,54.22819131536083
PC96,53.74584353264857
PC97,52.74628053859542
PC98,52.02731837463558
PC99,50.91825116839693
PC100,50.72064509914929
PC101,50.30046450522094
PC102,50.02289980611371
PC103,49.30881391061191
PC104,48.81272660007385
PC105,48.566891716383836
PC106,46.95560726227754
PC107,48.16529864583371
PC108,47.9874031120288
PC109,47.816114883813434
PC110,46.469279330942875
PC111,45.81268790950827
PC112,45.10821415573553
PC113,44.50928093247579
PC114,44.30295101285242
PC115,44.102282312424826
PC116,43.81060527872814
PC117,43.11373531495008
PC118,42.565839624067856
PC119,42.59017988212092
PC120,42.28291453920631
PC121,41.795428404837935
PC122,41.32165412632494
PC123,41.167685407420365
PC124,40.81142093265356
PC125,40.25489372145645
PC126,39.99141377951459
PC127,39.78410120231206
PC128,39.60104393937552
PC129,39.384109698169006
PC130,38.453248538408765
PC131,39.084588058386736
PC132,38.61882615991401
PC133,38.806607442485486
PC134,38.097145017955526
PC135,37.492351306101654
PC136,37.30351487407324
PC137,37.68441566386164
PC138,36.96863459963119
PC139,37.136635009339535
PC140,36.63347101526368
PC141,36.32859107194658
PC142,36.08628638578348
PC143,35.67441801409102
PC144,35.503182672780355
PC145,35.180922676297584
PC146,34.81842459739421
PC147,34.63104731385129
PC148,34.4861563186072
PC149,34.31058694611975
PC150,33.752521026678814
PC151,32.9882593547915
PC152,33.51978206516924
PC153,33.275076514172
PC154,33.43001772447992
PC155,33.352555293918655
PC156,32.57160930376981
PC157,31.94551685711581
PC158,32.232047583653525
PC159,31.241980519591404
PC160,32.35849410352293
PC161,31.597600597863515
PC162,31.417975771437153
PC163,30.787531667889606
PC164,30.664799225781298
PC165,30.96135420012756
PC166,32.599782371080636
PC167,30.546016248652236
PC168,30.180002901666175
PC169,30.08307335562282
PC170,29.955766499340186
PC171,29.558851781406055
PC172,29.50515905177925
PC173,29.27721431141769
PC174,29.180266898554486
PC175,29.02212825206628
PC176,28.81710480937507
PC177,28.743038773180746
PC178,28.678834436159903
PC179,28.44987191593047
PC180,28.182049687467646
PC181,27.84827891407298
PC182,28.303965671773454
PC183,27.621875945361083
PC184,27.421104660751265
PC185,27.283899805689217
PC186,27.00359087482578
PC187,26.838320571160903
PC188,26.87986534956726
PC189,26.735707345401366
PC190,26.60597682629196
PC191,26.510916821973648
PC192,26.209084705415396
PC193,26.365516190908043
PC194,26.343646501679164
PC195,25.888478395856094
PC196,25.816081576030175
PC197,25.710160836492282
PC198,25.524672413375487
PC199,25.325840098912728
PC200,25.18239383882145
PC201,25.073033376236587
PC202,24.666965571943486
PC203,24.839037463697743
PC204,24.814737812440736
PC205,24.40235587806402
PC206,24.32744472399272
PC207,24.217747012701903
PC208,24.139268989112438
PC209,24.007075632750922
PC210,23.965828423224863
PC211,23.819572734005515
PC212,23.832508423015184
PC213,23.653178134115556
PC214,23.491245748314075
PC215,23.41045157508297
PC216,23.357448306842013
PC217,23.107195620852536
PC218,22.946320194738128
PC219,22.87797847922525
PC220,22.70291282152659
PC221,22.5342802222851
PC222,20.656031001531108
PC223,20.870526146885286
PC224,20.99686696049957
PC225,22.4324801701713
PC226,21.082212827094885
PC227,21.224346028549938
PC228,22.339543936996098
PC229,22.252888769469223
PC230,20.735321554557224
PC231,21.986466927813655
PC232,21.544382820706257
PC233,22.160501202999008
PC234,22.02562555007687
PC235,21.81295843993046
PC236,21.427880842930342
PC237,21.489416219823852
PC238,21.750415661513134
PC239,21.688513820949996
PC240,20.48601830345834
PC241,20.449351910210595
PC242,20.586400318008533
PC243,20.37112690255906
PC244,20.28607188123034
PC245,20.156402226020635
